API定義書

エンドポイント,URL,HTTPメソッド
_debug_toolbar.static,/_debug_toolbar/static/<path:filename>,GET
debugtoolbar.template_editor,/_debug_toolbar/views/template/<key>,GET
debugtoolbar.save_template,/_debug_toolbar/views/template/<key>/save,POST
debugtoolbar.template_preview,/_debug_toolbar/views/template/<key>,POST
debugtoolbar.sql_select,/_debug_toolbar/views/sqlalchemy/sql_explain,"GET,POST"
debugtoolbar.sql_select,/_debug_toolbar/views/sqlalchemy/sql_select,"GET,POST"
public.public_index,/,GET
public.detail,/detail/<int:memo_id>,GET
auth.login,/auth/,"GET,POST"
auth.register,/auth/register,"GET,POST"
auth.logout,/auth/logout,GET
auth.edit,/auth/edit,"GET,POST"
auth.delete,/auth/delete,POST
auth.oauth_login,/auth/oauth_login,GET
auth.auth_callback,/auth/callback,GET
auth.auth_google,/auth/google/callback,GET
auth.check_userid,/auth/api/check_userid,GET
memo.index,/memo/,GET
memo.create,/memo/create,"GET,POST"
memo.update,/memo/update/<int:memo_id>,"GET,POST"
memo.delete,/memo/delete/<int:memo_id>,GET
favorite.add,/favorite/add/<int:memo_id>,POST
favorite.remove_favorite,/favorite/remove/<int:memo_id>,POST
docs.diagram,/diagram,GET
docs.generate_docs,/generate-docs,GET
fixed.static_page,/fixed/<page_name>,GET
