テーブル定義書

テーブル名,カラム名,型,Nullable,PK
alembic_version,version_num,VARCHAR(32),False,1
categories,id,INTEGER,False,1
categories,name,VARCHAR(12),False,0
categories,color,VARCHAR(7),False,0
categories,created_at,DATETIME,False,0
favorites,id,INTEGER,False,1
favorites,user_id,INTEGER,False,0
favorites,memo_id,INTEGER,False,0
favorites,rank,INTEGER,True,0
favorites,created_at,DATETIME,False,0
memo_categories,memo_id,INTEGER,False,1
memo_categories,category_id,INTEGER,False,2
memos,id,INTEGER,False,1
memos,title,VARCHAR(50),False,0
memos,content,TEXT,False,0
memos,user_id,INTEGER,False,0
memos,created_at,DATETIME,False,0
memos,image_filename,VARCHAR(255),False,0
users,id,INTEGER,False,1
users,username,VARCHAR(12),True,0
users,email,VARCHAR(120),True,0
users,password,VARCHAR(120),True,0
users,thumbnail,VARCHAR(50),False,0
users,oauth_provider,VARCHAR(50),True,0
users,oauth_sub,VARCHAR(255),True,0
